timestamp,cpu_energy_kwh,gpu_energy_kwh,total_energy_kwh,tasks_scheduled,sla_violations,avg_sla_slack,cluster_cpu_util,cluster_gpu_util
10341278.0,4864.905105,14252.340758,19117.245863,761,310,0.00,0.6734,0.4000
10342138.0,4865.642226,14254.978092,19120.620318,762,311,0.00,0.6906,0.4125
10342211.0,4865.705772,14255.207433,19120.913205,763,311,0.00,0.6953,0.4250
10343681.0,4866.962860,14259.688883,19126.651743,764,311,0.00,0.6391,0.3750
10343714.0,4866.990263,14259.785133,19126.775396,765,312,0.00,0.6563,0.3875
10343715.0,4866.991106,14259.788125,19126.779231,766,313,0.00,0.6734,0.4000
10344030.0,4867.261099,14260.754125,19128.015224,767,313,0.00,0.6781,0.4125
10344375.0,4867.557501,14261.826450,19129.383951,768,314,0.00,0.6922,0.4000
10344402.0,4867.581037,14261.909250,19129.490287,769,315,0.00,0.7109,0.4000
10344404.0,4867.582809,14261.915383,19129.498193,770,316,0.00,0.7281,0.4125
10344444.0,4867.618795,14262.041050,19129.659845,771,317,0.00,0.7453,0.4250
10344553.0,4867.718315,14262.391667,19130.109981,772,318,0.00,0.7641,0.4250
10344582.0,4867.745215,14262.484950,19130.230165,773,319,0.00,0.7828,0.4250
10344620.0,4867.781018,14262.607183,19130.388202,774,319,0.00,0.7891,0.4375
10344645.0,4867.804694,14262.689475,19130.494169,775,319,0.00,0.7953,0.4500
10345184.0,4868.294387,14264.495858,19132.790245,776,319,0.00,0.7188,0.4500
10345822.0,4868.861969,14266.607942,19135.469911,777,319,0.00,0.7141,0.4375
10345859.0,4868.894852,14266.729733,19135.624585,778,319,0.00,0.7188,0.4500
10345885.0,4868.918053,14266.817267,19135.735320,779,319,0.00,0.7313,0.4500
10345975.0,4868.999241,14267.120267,19136.119507,780,320,0.00,0.7484,0.4625
10347405.0,4870.269514,14271.623350,19141.892864,781,321,0.00,0.7375,0.4250
10347728.0,4870.561268,14272.655658,19143.216926,782,321,0.00,0.7250,0.4250
10347817.0,4870.641120,14272.941942,19143.583062,783,321,0.00,0.7313,0.4375
10347973.0,4870.781736,14273.453192,19144.234928,784,322,0.00,0.7453,0.4250
10347977.0,4870.785388,14273.466058,19144.251446,785,323,0.00,0.7641,0.4250
10348022.0,4870.827130,14273.610808,19144.437939,786,324,0.00,0.7828,0.4250
10348057.0,4870.860107,14273.723392,19144.583498,787,325,0.00,0.8109,0.4375
10348094.0,4870.895777,14273.845183,19144.740960,788,325,0.00,0.8156,0.4500
10348096.0,4870.897713,14273.851917,19144.749629,789,326,0.00,0.8344,0.4500
10348132.0,4870.933075,14273.973117,19144.906192,790,327,0.00,0.8531,0.4500
10348477.0,4871.259601,14275.079117,19146.338718,791,328,0.00,0.7656,0.4250
10348594.0,4871.366814,14275.447442,19146.814255,792,329,0.00,0.7672,0.4250
10349004.0,4871.743139,14276.760050,19148.503189,793,330,0.00,0.7594,0.4250
10349014.0,4871.752204,14276.791542,19148.543745,794,331,0.00,0.7531,0.4125
10349068.0,4871.801835,14276.961192,19148.763027,795,332,0.00,0.7719,0.4125
10349201.0,4871.926015,14277.379033,19149.305048,796,333,0.00,0.7969,0.4250
10349365.0,4872.082327,14277.906567,19149.988894,797,334,0.00,0.8141,0.4375
10349476.0,4872.187836,14278.268792,19150.456628,798,334,0.00,0.7906,0.4375
10349496.0,4872.206801,14278.334625,19150.541426,799,334,0.00,0.7969,0.4500
10349561.0,4872.268754,14278.553458,19150.822213,800,335,0.00,0.8219,0.4625
10349678.0,4872.381276,14278.951783,19151.333060,801,335,0.00,0.8000,0.4625
10350125.0,4872.803354,14280.432533,19153.235887,802,336,0.00,0.7938,0.4250
10350130.0,4872.808107,14280.448617,19153.256724,803,337,0.00,0.8125,0.4250
